TermCode,SessionOrder,Session,Year,On Campus Enrollment (Campus HC),Campus Based Away,All Campus Related (Distinct)
SP12,277,Spring Semester,2012,13718,2275,15993
FA12,279,Fall Semester,2012,16230,2473,18703
WI13,281,Winter Semester,2013,15506,2635,18141
SP13,282,Spring Semester,2013,14003,2309,16312
FA13,284,Fall Semester,2013,15564,2254,17818
WI14,286,Winter Semester,2014,15609,2404,18013
SP14,287,Spring Semester,2014,12913,2763,15676
FA14,289,Fall Semester,2014,16190,2789,18979
WI15,291,Winter Semester,2015,16737,3009,19746
SP15,292,Spring Semester,2015,13734,3276,17010
FA15,294,Fall Semester,2015,17565,3126,20691
WI16,296,Winter Semester,2016,17715,3678,21393
SP16,297,Spring Semester,2016,14693,3795,18488
FA16,299,Fall Semester,2016,17980,3847,21827
WI17,300,Winter Semester,2017,18065,3856,21921
SP17,301,Spring Semester,2017,14934,4228,19162
FA17,303,Fall Semester,2017,19399,4170,23569
WI18,305,Winter Semester,2018,18689,4417,23106
SP18,306,Spring Semester,2018,15751,4495,20246
SS18,307,Summer Session,2018,326,1175,1501
FA18,308,Fall Semester,2018,20226,4255,24481
WI19,309,Winter Semester,2019,19235,4463,23698
SP19,310,Spring Semester,2019,15422,4966,20388
SS19,311,Summer Session,2019,303,1244,1547
FA19,312,Fall Semester,2019,20592,4585,25177
WI20,313,Winter Semester,2020,19211,4832,24043
SP20,314,Spring Semester,2020,14435,6125,20560
SS20,315,Summer Session,2020,546,1535,2081
FA20,316,Fall Semester,2020,21337,5626,26963
WI21,317,Winter Semester,2021,19683,5651,25334
SP21,318,Spring Semester,2021,16046,5094,21140
SS21,319,Summer Session,2021,440,1242,1682
FA21,320,Fall Semester,2021,20377,5253,25630
WI22,321,Winter Semester,2022,18425,5278,23703
SP22,322,Spring Semester,2022,14246,5164,19410
SS22,323,Summer Session,2022,338,1268,1606
FA22,324,Fall Semester,2022,19441,4690,24131
WI23,325,Winter Semester,2023,17740,4731,22471
SP23,326,Spring Semester,2023,12798,5041,17839
SS23,327,Summer Session,2023,510,1329,1839
FA23,328,Fall Semester,2023,18714,4605,23319
WI24,329,Winter Semester,2024,17578,4673,22251
