Month,chocolate
2004-01,36
2004-02,45
2004-03,29
2004-04,32
2004-05,29
2004-06,26
2004-07,27
2004-08,27
2004-09,29
2004-10,33
2004-11,46
2004-12,67
2005-01,40
2005-02,47
2005-03,38
2005-04,34
2005-05,39
2005-06,35
2005-07,55
2005-08,36
2005-09,32
2005-10,36
2005-11,47
2005-12,62
2006-01,41
2006-02,48
2006-03,33
2006-04,34
2006-05,32
2006-06,29
2006-07,30
2006-08,46
2006-09,40
2006-10,42
2006-11,49
2006-12,75
2007-01,46
2007-02,54
2007-03,36
2007-04,38
2007-05,36
2007-06,34
2007-07,37
2007-08,41
2007-09,38
2007-10,39
2007-11,48
2007-12,71
2008-01,42
2008-02,48
2008-03,39
2008-04,40
2008-05,38
2008-06,36
2008-07,35
2008-08,34
2008-09,36
2008-10,41
2008-11,44
2008-12,67
2009-01,42
2009-02,51
2009-03,39
2009-04,39
2009-05,38
2009-06,37
2009-07,37
2009-08,38
2009-09,37
2009-10,42
2009-11,51
2009-12,71
2010-01,44
2010-02,52
2010-03,42
2010-04,39
2010-05,42
2010-06,37
2010-07,37
2010-08,36
2010-09,37
2010-10,39
2010-11,49
2010-12,67
2011-01,47
2011-02,55
2011-03,42
2011-04,45
2011-05,43
2011-06,41
2011-07,40
2011-08,40
2011-09,42
2011-10,48
2011-11,56
2011-12,77
2012-01,52
2012-02,60
2012-03,45
2012-04,46
2012-05,46
2012-06,43
2012-07,46
2012-08,44
2012-09,45
2012-10,48
2012-11,56
2012-12,85
2013-01,52
2013-02,63
2013-03,51
2013-04,45
2013-05,45
2013-06,43
2013-07,45
2013-08,44
2013-09,44
2013-10,49
2013-11,59
2013-12,79
2014-01,58
2014-02,66
2014-03,49
2014-04,48
2014-05,47
2014-06,42
2014-07,43
2014-08,42
2014-09,41
2014-10,46
2014-11,64
2014-12,77
2015-01,53
2015-02,61
2015-03,47
2015-04,44
2015-05,45
2015-06,43
2015-07,41
2015-08,43
2015-09,42
2015-10,49
2015-11,58
2015-12,82
2016-01,57
2016-02,61
2016-03,51
2016-04,47
2016-05,48
2016-06,43
2016-07,45
2016-08,42
2016-09,44
2016-10,50
2016-11,58
2016-12,85
2017-01,51
2017-02,63
2017-03,52
2017-04,51
2017-05,47
2017-06,43
2017-07,47
2017-08,46
2017-09,45
2017-10,52
2017-11,60
2017-12,85
2018-01,57
2018-02,66
2018-03,53
2018-04,46
2018-05,47
2018-06,45
2018-07,46
2018-08,45
2018-09,45
2018-10,50
2018-11,61
2018-12,86
2019-01,54
2019-02,67
2019-03,52
2019-04,49
2019-05,47
2019-06,46
2019-07,45
2019-08,44
2019-09,45
2019-10,50
2019-11,59
2019-12,79
2020-01,55
2020-02,63
2020-03,50
2020-04,70
2020-05,64
2020-06,52
2020-07,51
2020-08,47
2020-09,48
2020-10,57
2020-11,65
2020-12,100
2021-01,60
2021-02,76
2021-03,53
2021-04,50
2021-05,46
2021-06,44
2021-07,45
2021-08,45
2021-09,45
2021-10,51
2021-11,64
2021-12,82
2022-01,65
2022-02,70
2022-03,52
2022-04,57
2022-05,52
2022-06,50
2022-07,50
2022-08,50
2022-09,52
2022-10,56
2022-11,67
2022-12,93
2023-01,61
2023-02,71
2023-03,59
2023-04,54
2023-05,51
2023-06,53
2023-07,51
2023-08,47
2023-09,49
2023-10,57
2023-11,69
2023-12,100
