month,residential_nat_gas_consumption,comments
Nov-23,493515,U.S. Natural Gas Residential Consumption MMcf
Oct-23,227886,(in millions of cubic feet)
Sep-23,113290,
Aug-23,104162,Natural Gas Consumption by End Use
Jul-23,111283,https://www.eia.gov/dnav/ng/ng_cons_sum_dcu_nus_m.htm
Jun-23,128631,23:28:17 GMT-0700 (Mountain Standard Time)
May-23,196715,
Apr-23,337657,Data source: U.S. Energy Information Administration
Mar-23,632744,
Feb-23,683020,Series Link
Jan-23,799235,https://www.eia.gov/dnav/ng/hist/n3010us2m.htm
Dec-22,834803,
Nov-22,513322,Series Key
Oct-22,241880,N3010US2.M
Sep-22,114053,
Aug-22,102885,Downloaded from:
Jul-22,110163,https://www.eia.gov/dnav/ng/ng_cons_sum_dcu_nus_m.htm
Jun-22,123907,
May-22,201302,
Apr-22,384436,
Mar-22,588299,
Feb-22,791006,
Jan-22,958107,
Dec-21,669246,
Nov-21,482064,
Oct-21,192643,
Sep-21,118518,
Aug-21,106442,
Jul-21,112879,
Jun-21,129557,
May-21,217935,
Apr-21,342107,
Mar-21,574164,
Feb-21,875840,
Jan-21,895265,
Dec-20,799640,
Nov-20,439857,
Oct-20,241796,
Sep-20,126533,
Aug-20,108827,
Jul-20,118141,
Jun-20,136127,
May-20,236591,
Apr-20,378068,
Mar-20,526842,
Feb-20,737150,
Jan-20,824885,
Dec-19,752613,
Nov-19,589075,
Oct-19,231696,
Sep-19,109841,
Aug-19,101894,
Jul-19,111761,
Jun-19,129214,
May-19,212408,
Apr-19,328581,
Mar-19,688517,
Feb-19,809132,
Jan-19,953787,
Dec-18,765580,
Nov-18,598977,
Oct-18,255318,
Sep-18,112317,
Aug-18,99781,
Jul-18,105918,
Jun-18,119244,
May-18,169019,
Apr-18,440848,
Mar-18,659389,
Feb-18,689887,
Jan-18,981276,
Dec-17,821890,
Nov-17,467729,
Oct-17,205087,
Sep-17,114508,
Aug-17,103835,
Jul-17,107443,
Jun-17,124057,
May-17,199486,
Apr-17,278972,
Mar-17,579941,
Feb-17,579458,
Jan-17,830917,
Dec-16,794164,
Nov-16,379746,
Oct-16,187385,
Sep-16,109782,
Aug-16,100455,
Jul-16,106420,
Jun-16,122640,
May-16,193922,
Apr-16,328059,
Mar-16,455001,
Feb-16,690077,
Jan-16,878936,
Dec-15,590911,
Nov-15,406610,
Oct-15,201540,
Sep-15,108491,
Aug-15,102855,
Jul-15,108160,
Jun-15,124066,
May-15,177570,
Apr-15,319285,
Mar-15,633081,
Feb-15,902364,
Jan-15,937954,
Dec-14,716907,
Nov-14,543538,
Oct-14,212079,
Sep-14,121736,
Aug-14,105187,
Jul-14,112785,
Jun-14,125596,
May-14,203456,
Apr-14,356142,
Mar-14,699921,
Feb-14,852927,
Jan-14,1037197,
Dec-13,848195,
Nov-13,517529,
Oct-13,222668,
Sep-13,117803,
Aug-13,107731,
Jul-13,111509,
Jun-13,127659,
May-13,193222,
Apr-13,366420,
Mar-13,662262,
Feb-13,750082,
Jan-13,872291,
Dec-12,670344,
Nov-12,482134,
Oct-12,240105,
Sep-12,118611,
Aug-12,105604,
Jul-12,107517,
Jun-12,123336,
May-12,163083,
Apr-12,279211,
Mar-12,403150,
Feb-12,662056,
Jan-12,794368,
Dec-11,693232,
Nov-11,434502,
Oct-11,225506,
Sep-11,122751,
Aug-11,112280,
Jul-11,114187,
Jun-11,132672,
May-11,205399,
Apr-11,340552,
Mar-11,594929,
Feb-11,767994,
Jan-11,969775,
Dec-10,847001,
Nov-10,446801,
Oct-10,201580,
Sep-10,117299,
Aug-10,107074,
Jul-10,111307,
Jun-10,134038,
May-10,197513,
Apr-10,313171,
Mar-10,579243,
Feb-10,794779,
Jan-10,932605,
Dec-09,764286,
Nov-09,376488,
Oct-09,251028,
Sep-09,119681,
Aug-09,111479,
Jul-09,118624,
Jun-09,141121,
May-09,201447,
Apr-09,390344,
Mar-09,600328,
Feb-09,756341,
Jan-09,947740,
Dec-08,771868,
Nov-08,433370,
Oct-08,218058,
Sep-08,118100,
Aug-08,111287,
Jul-08,118416,
Jun-08,144313,
May-08,230229,
Apr-08,388459,
Mar-08,656262,
Feb-08,818272,
Jan-08,883643,
Dec-07,716871,
Nov-07,405477,
Oct-07,174272,
Sep-07,116439,
Aug-07,112015,
Jul-07,117616,
Jun-07,137169,
May-07,215724,
Apr-07,407708,
Mar-07,616531,
Feb-07,899461,
Jan-07,803075,
Dec-06,623595,
Nov-06,413409,
Oct-06,240448,
Sep-06,124922,
Aug-06,108439,
Jul-06,115586,
Jun-06,141157,
May-06,203512,
Apr-06,355496,
Mar-06,625925,
Feb-06,702280,
Jan-06,713698,
Dec-05,771237,
Nov-05,387025,
Oct-05,202172,
Sep-05,118261,
Aug-05,112600,
Jul-05,122282,
Jun-05,152020,
May-05,247525,
Apr-05,384163,
Mar-05,678019,
Feb-05,759126,
Jan-05,892345,
Dec-04,725603,
Nov-04,407202,
Oct-04,216417,
Sep-04,124924,
Aug-04,119809,
Jul-04,124882,
Jun-04,144885,
May-04,213645,
Apr-04,379642,
Mar-04,591428,
Feb-04,857450,
Jan-04,962910,
Dec-03,738596,
Nov-03,413663,
Oct-03,231558,
Sep-03,128621,
Aug-03,115852,
Jul-03,126624,
Jun-03,157454,
May-03,247693,
Apr-03,414495,
Mar-03,674582,
Feb-03,884238,
Jan-03,945975,
Dec-02,771634,
Nov-02,483192,
Oct-02,250573,
Sep-02,123904,
Aug-02,115678,
Jul-02,125065,
Jun-02,159973,
May-02,255083,
Apr-02,415196,
Mar-02,660430,
Feb-02,712863,
Jan-02,815227,
Dec-01,609025,
Nov-01,360721,
Oct-01,237466,
Sep-01,127482,
Aug-01,116934,
Jul-01,123777,
Jun-01,146837,
May-01,209327,
Apr-01,400728,
Mar-01,681884,
Feb-01,780482,
Jan-01,976677,
Dec-00,914339,
Nov-00,482600,
Oct-00,235799,
Sep-00,140766,
Aug-00,122408,
Jul-00,128363,
Jun-00,154183,
May-00,228439,
Apr-00,400886,
Mar-00,550261,
Feb-00,775235,
Jan-00,862900,
Dec-99,659606,
Nov-99,371595,
Oct-99,233508,
Sep-99,134861,
Aug-99,116231,
Jul-99,126561,
Jun-99,158235,
May-99,234764,
Apr-99,420192,
Mar-99,669270,
Feb-99,689687,
Jan-99,911162,
Dec-98,615913,
Nov-98,398094,
Oct-98,202996,
Sep-98,121417,
Aug-98,116631,
Jul-98,132390,
Jun-98,152708,
May-98,220830,
Apr-98,407752,
Mar-98,647619,
Feb-98,691819,
Jan-98,812108,
Dec-97,731030,
Nov-97,497310,
Oct-97,234223,
Sep-97,129388,
Aug-97,117900,
Jul-97,127805,
Jun-97,163591,
May-97,283739,
Apr-97,433073,
Mar-97,605856,
Feb-97,757457,
Jan-97,902399,
Dec-96,737722,
Nov-96,502981,
Oct-96,243121,
Sep-96,137556,
Aug-96,118296,
Jul-96,124371,
Jun-96,162277,
May-96,271486,
Apr-96,473842,
Mar-96,705207,
Feb-96,830912,
Jan-96,933642,
Dec-95,757844,
Nov-95,488812,
Oct-95,216412,
Sep-95,133951,
Aug-95,114415,
Jul-95,130717,
Jun-95,158908,
May-95,260367,
Apr-95,418820,
Mar-95,600034,
Feb-95,754491,
Jan-95,815547,
Dec-94,638175,
Nov-94,391460,
Oct-94,220553,
Sep-94,130370,
Aug-94,121952,
Jul-94,126805,
Jun-94,154411,
May-94,246872,
Apr-94,392153,
Mar-94,630616,
Feb-94,841815,
Jan-94,952520,
Dec-93,705034,
Nov-93,457330,
Oct-93,254494,
Sep-93,141580,
Aug-93,120331,
Jul-93,129719,
Jun-93,163642,
May-93,232154,
Apr-93,449738,
Mar-93,703183,
Feb-93,768365,
Jan-93,830874,
Dec-92,717170,
Nov-92,436771,
Oct-92,240662,
Sep-92,137106,
Aug-92,125580,
Jul-92,131801,
Jun-92,162378,
May-92,251416,
Apr-92,431401,
Mar-92,573979,
Feb-92,696082,
Jan-92,785718,
Dec-91,658449,
Nov-91,459455,
Oct-91,225108,
Sep-91,137994,
Aug-91,117851,
Jul-91,126156,
Jun-91,147839,
May-91,228742,
Apr-91,372922,
Mar-91,573093,
Feb-91,664218,
Jan-91,843832,
Dec-90,630275,
Nov-90,375652,
Oct-90,213538,
Sep-90,132115,
Aug-90,121276,
Jul-90,126501,
Jun-90,160823,
May-90,248272,
Apr-90,399624,
Mar-90,551987,
Feb-90,642665,
Jan-90,788596,
Dec-89,790934,
Nov-89,405314,
Oct-89,228672,
Sep-89,139486,
Aug-89,121009,
Jul-89,128662,
Jun-89,155449,
May-89,256551,
Apr-89,414487,
Mar-89,645859,
Feb-89,743050,
Jan-89,751166,
Dec-88,631086,
Nov-88,391420,
Oct-88,232157,
Sep-88,124739,
Aug-88,114411,
Jul-88,122908,
Jun-88,152204,
May-88,257781,
Apr-88,400177,
Mar-88,596846,
Feb-88,754526,
Jan-88,852076,
Dec-87,591715,
Nov-87,354076,
Oct-87,222825,
Sep-87,126348,
Aug-87,117471,
Jul-87,125625,
Jun-87,146812,
May-87,222779,
Apr-87,401848,
Mar-87,575299,
Feb-87,688699,
Jan-87,741338,
Dec-86,599085,
Nov-86,345659,
Oct-86,185265,
Sep-86,130597,
Aug-86,117487,
Jul-86,126494,
Jun-86,154889,
May-86,236207,
Apr-86,363277,
Mar-86,579901,
Feb-86,684541,
Jan-86,790569,
Dec-85,646863,
Nov-85,306427,
Oct-85,189799,
Sep-85,129314,
Aug-85,118932,
Jul-85,129851,
Jun-85,156549,
May-85,212164,
Apr-85,396625,
Mar-85,566386,
Feb-85,837245,
Jan-85,743223,
Dec-84,565927,
Nov-84,322693,
Oct-84,182438,
Sep-84,126625,
Aug-84,118045,
Jul-84,128314,
Jun-84,169942,
May-84,286928,
Apr-84,462950,
Mar-84,605372,
Feb-84,699925,
Jan-84,886307,
Dec-83,545164,
Nov-83,310895,
Oct-83,175875,
Sep-83,122538,
Aug-83,114458,
Jul-83,124457,
Jun-83,164337,
May-83,276395,
Apr-83,444247,
Mar-83,580985,
Feb-83,671628,
Jan-83,849621,
Dec-82,557000,
Nov-82,372000,
Oct-82,204000,
Sep-82,136000,
Aug-82,123000,
Jul-82,138000,
Jun-82,165000,
May-82,233000,
Apr-82,451000,
Mar-82,602000,
Feb-82,786000,
Jan-82,866000,
Dec-81,601000,
Nov-81,364000,
Oct-81,232000,
Sep-81,133000,
Aug-81,123000,
Jul-81,136000,
Jun-81,168000,
May-81,260000,
Apr-81,372000,
Mar-81,585000,
Feb-81,740000,
Jan-81,831000,
Dec-80,646000,
Nov-80,392000,
Oct-80,214000,
Sep-80,135000,
Aug-80,129000,
Jul-80,145000,
Jun-80,191000,
May-80,279000,
Apr-80,451000,
Mar-80,673000,
Feb-80,774000,
Jan-80,722000,
Dec-79,593825,
Nov-79,378577,
Oct-79,215151,
Sep-79,137611,
Aug-79,133244,
Jul-79,147607,
Jun-79,189143,
May-79,287548,
Apr-79,463492,
Mar-79,659720,
Feb-79,892145,
Jan-79,867301,
Dec-78,631636,
Nov-78,376411,
Oct-78,209515,
Sep-78,135489,
Aug-78,130270,
Jul-78,146989,
Jun-78,184388,
May-78,307604,
Apr-78,445702,
Mar-78,680825,
Feb-78,837768,
Jan-78,816411,
Dec-77,651640,
Nov-77,371888,
Oct-77,223663,
Sep-77,140661,
Aug-77,131330,
Jul-77,146064,
Jun-77,182212,
May-77,251756,
Apr-77,401258,
Mar-77,560779,
Feb-77,823439,
Jan-77,936793,
Dec-76,734158,
Nov-76,471326,
Oct-76,241902,
Sep-76,152346,
Aug-76,140774,
Jul-76,170257,
Jun-76,220871,
May-76,315760,
Apr-76,442648,
Mar-76,578491,
Feb-76,739592,
Jan-76,843235,
Dec-75,607794,
Nov-75,329397,
Oct-75,223383,
Sep-75,153980,
Aug-75,143604,
Jul-75,167293,
Jun-75,203708,
May-75,337326,
Apr-75,596831,
Mar-75,677687,
Feb-75,732408,
Jan-75,750713,
Dec-74,612830,
Nov-74,358546,
Oct-74,235176,
Sep-74,154824,
Aug-74,142086,
Jul-74,166289,
Jun-74,215382,
May-74,315920,
Apr-74,482013,
Mar-74,597641,
Feb-74,688478,
Jan-74,816943,
Dec-73,590602,
Nov-73,392459,
Oct-73,205013,
Sep-73,159378,
Aug-73,142498,
Jul-73,150349,
Jun-73,207172,
May-73,326313,
Apr-73,465867,
Mar-73,648504,
Feb-73,747331,
Jan-73,843900,
